* Dictionary *
year:			year
team1:		Team playing
team2:		Team playing
bowl:			Bowl
nrsuper:		Nielsen rating of the Super Bowl that year
nrrs:			Average of the Nielsen ratings for the regular season college football games of that year
nr:			Nielsen rating for that Bowl
won:			Rank of winning team
lost:			Rank of losing team
bc:			= 1 if bowl is part of the Bowl Coalition, = 0 o/w
ba:			= 1 if bowl is part of the Bowl Alliance, = 0 o/w
bcs:			= 1 if bowl is part of the Bowl Championship Series, = 0 o/w
no_of_bowls:	number of bowls played that day (excluding the one in consideration)
**************

year	team1	team2	bowl	nrsuper	nrrs	nr	won	lost	bc	ba	bcs	no_of_bowls
1995	"Southern-California"	"Northwestern"	"rose"	46	5.8	19.2	17	3	0	0	0	4
1995	"Virginia-Tech"	"Texas"	"sugar"	46	5.8	6.3	13	9	0	1	0	2
1996	"Brigham-Young"	"Kansas-State"	"cotton"	43.3	4.3	5.6	5	14	0	0	0	5
1996	"Penn-State"	"Texas"	"fiesta"	43.3	4.3	10	7	20	0	1	0	5
1996	"Nebraska"	"Virginia-Tech"	"orange"	43.3	4.3	7.8	6	10	0	1	0	2
1996	"Ohio-State"	"Arizona-State"	"rose"	43.3	4.3	16.5	4	2	0	0	0	5
1996	"Florida"	"Florida-State"	"sugar"	43.3	4.3	17.9	3	1	0	1	0	0
1997	"UCLA"	"Texas-A&M"	"cotton"	44.5	3.9	6.2	5	20	0	0	0	6
1997	"Kansas-State"	"Syracuse"	"fiesta"	44.5	3.9	5.8	8	21	0	1	0	0
1997	"Nebraska"	"Tennessee"	"orange"	44.5	3.9	13.3	2	7	0	1	0	6
1997	"Michigan"	"Washington-State"	"rose"	44.5	3.9	17.6	1	9	0	0	0	6
1997	"Florida-State"	"Ohio-State"	"sugar"	44.5	3.9	11.2	3	12	0	1	0	6
1998	"Texas"	"Mississippi-State"	"cotton"	40.2	3.8	4.1	20	25	0	0	0	6
1998	"Tennessee"	"Florida-State"	"fiesta"	40.2	3.8	17.2	1	2	0	0	1	0
1998	"Florida"	"Syracuse"	"orange"	40.2	3.8	8.4	7	18	0	0	1	6
1998	"Wisconsin"	"UCLA"	"rose"	40.2	3.8	13.3	9	6	0	0	1	6
1998	"Ohio-State"	"Texas-A&M"	"sugar"	40.2	3.8	11.5	3	8	0	0	1	6
1999	"Arkansas"	"Texas"	"cotton"	43.3	4	4.1	24	14	0	0	0	5
1999	"Nebraska"	"Tennessee"	"fiesta"	43.3	4	9.6	3	6	0	0	1	0
1999	"Michigan"	"Alabama"	"orange"	43.3	4	11.4	8	5	0	0	1	5
1999	"Wisconsin"	"Stanford"	"rose"	43.3	4	14.1	4	22	0	0	1	5
1999	"Florida-State"	"Virginia-Tech"	"sugar"	43.3	4	17.5	1	2	0	0	1	0
2000	"Kansas-State"	"Tennessee"	"cotton"	40.4	3.8	4.4	11	21	0	0	0	6
2000	"Oregon-State"	"Notre-Dame"	"fiesta"	40.4	3.8	10.7	5	10	0	0	1	6
2000	"Oklahoma"	"Florida-State"	"orange"	40.4	3.8	17.8	1	3	0	0	1	6
2000	"Washington"	"Purdue"	"rose"	40.4	3.8	14	4	14	0	0	1	6
2000	"Miami"	"Florida"	"sugar"	40.4	3.8	13	2	7	0	0	1	0
2001	"Oklahoma"	"Arkansas"	"cotton"	40.4	4.2	4.3	10	26	0	0	0	6
2001	"Oregon"	"Colorado"	"fiesta"	40.4	4.2	11.3	2	3	0	0	1	6
2001	"Florida"	"Maryland"	"orange"	40.4	4.2	9.5	5	6	0	0	1	0
2001	"Miami"	"Nebraska"	"rose"	40.4	4.2	13.8	1	4	0	0	1	6
2001	"LSU"	"Illinois"	"sugar"	40.4	4.2	8.6	12	7	0	0	1	6
2002	"Texas"	"Louisiana-State"	"cotton"	40.7	3.8	3.4	9	26	0	0	0	6
2002	"Ohio-State"	"Miami-(Fla.)"	"fiesta"	40.7	3.8	17.2	2	1	0	0	1	0
2002	"Southern-California"	"Iowa"	"orange"	40.7	3.8	9.7	5	3	0	0	1	6
2002	"Oklahoma"	"Washington-State"	"rose"	40.7	3.8	11.3	8	7	0	0	1	6
2002	"Georgia"	"Florida-State"	"sugar"	40.7	3.8	9.2	4	16	0	0	1	6
2003	"Mississippi"	"Oklahoma-State"	"cotton"	41.4	3.7	4.3	16	21	0	0	0	2
2003	"Ohio-State"	"Kansas-State"	"fiesta"	41.4	3.7	8.5	7	8	0	0	1	2
2003	"Miami-(Fla.)"	"Florida-State"	"orange"	41.4	3.7	9.1	10	9	0	0	1	3
2003	"Southern-California"	"Michigan"	"rose"	41.4	3.7	14.3	1	4	0	0	1	0
2003	"Louisiana-State"	"Oklahoma"	"sugar"	41.4	3.7	14.8	2	3	0	0	1	0
2004	"Tennessee"	"Texas-A&M"	"cotton"	41.1	3.3	2.6	15	22	0	0	0	6
2004	"Utah"	"Pittsburgh"	"fiesta"	41.1	3.3	7.4	5	19	0	0	1	6
2004	"Southern-California"	"Oklahoma"	"orange"	41.1	3.3	13.7	1	2	0	0	1	6
2004	"Texas"	"Michigan"	"rose"	41.1	3.3	12.4	6	13	0	0	1	6
2004	"Auburn"	"Virginia-Tech"	"sugar"	41.1	3.3	9.5	3	9	0	0	1	0
2005	"Alabama"	"Texas-Tech"	"cotton"	41.6	3.2	3.7	13	18	0	0	0	5
2005	"Ohio-State"	"Notre-Dame"	"fiesta"	41.6	3.2	12.9	4	5	0	0	1	5
2005	"Penn-State"	"Florida-State"	"orange"	41.6	3.2	12.3	3	22	0	0	1	0
2005	"Texas"	"Southern-California"	"rose"	41.6	3.2	21.7	2	1	0	0	1	0
2005	"West-Virginia"	"Georgia"	"sugar"	41.6	3.2	9	11	8	0	0	1	5
