* Dictionary *
date:			session date (month/day/year/*, * is a decimal to seperate different sessions conducted on the same day)
alpha:		alpha
round:		round #
stage:		stage #
group:		identifies subjects that were grouped together
subject:		subject #, changes across rounds
proposal1:		share of ressources offered as particularistic good to subjects #1
proposal2:		share of ressources offered as particularistic good to subjects #2
proposal3:		share of ressources offered as particularistic good to subjects #3
proposal4:		share of ressources offered as particularistic good to subjects #4
proposal5:		share of ressources offered as particularistic good to subjects #5
proposalpublic:	share of ressources offered as public good
chosen:		proposal selected to take the floor
vote:			= 1 if the subject votes in favor of the selected offer (the proposal on the floor), = 0 o/w
id:			id #, constant through session

**************

date	alpha	round	stage	group	subject	proposal1	proposal2	proposal3	proposal4	proposal5	proposalpublic	chosen	vote	id
41106	.55	4	1	4	2	.06	.1	.04	0	0	.8	1	1	1
41106	.55	4	1	4	3	0	0	.1	0	0	.9	0	1	18
41106	.55	4	1	4	4	.18	0	0	0	0	.82	0	1	7
41106	.55	4	1	4	5	0	0	0	0	0	1	0	0	9
41106	.55	5	1	1	1	0	0	0	0	0	1	0	1	5
41106	.55	5	1	1	2	0	0	0	0	0	1	1	1	9
41106	.55	5	1	1	3	0	0	.2	0	0	.8	0	1	4
41106	.55	5	1	1	4	0	0	0	0	.14	.86	0	1	8
41106	.55	5	1	1	5	0	0	0	0	.2	.8	0	1	10
41106	.55	5	1	2	1	.16	0	0	0	0	.84	0	0	7
41106	.55	5	1	2	2	0	0	0	0	0	1	0	0	17
41106	.55	5	1	2	3	.02	.02	.02	.02	.02	.9	0	0	20
41106	.55	5	1	2	4	0	0	0	.2	0	.8	0	0	14
41106	.55	5	1	2	5	0	0	.2	.2	.6	0	1	1	11
41106	.55	5	1	3	1	.6	.2	.2	0	0	0	0	1	16
41106	.55	5	1	3	2	.01	.01	.01	.01	.01	.95	0	0	13
41106	.55	5	1	3	3	0	0	.04	0	.02	.94	0	1	1
41106	.55	5	1	3	4	0	0	0	0	0	1	0	0	3
41106	.55	5	1	3	5	0	0	0	0	.1	.9	1	1	18
41106	.55	5	1	4	1	0	0	0	0	0	1	1	1	15
41106	.55	5	1	4	2	.04	.16	.04	0	0	.76	0	1	12
41106	.55	5	1	4	3	0	0	.06	.04	.04	.86	0	1	6
41106	.55	5	1	4	4	0	0	0	.12	0	.88	0	1	2
41106	.55	5	1	4	5	0	0	0	0	0	1	0	1	19
41106	.55	5	2	2	1	0	0	0	0	0	1	0	1	7
41106	.55	5	2	2	2	0	0	0	0	0	1	0	1	17
41106	.55	5	2	2	3	.0125	.0125	.0125	.0125	.0125	.9375	1	1	20
41106	.55	5	2	2	4	0	0	0	.175	0	.825	0	1	14
41106	.55	5	2	2	5	0	0	0	0	0	1	0	1	11
41106	.55	6	1	1	1	.2	0	0	0	0	.8	0	1	4
41106	.55	6	1	1	2	.01	.08	.01	.01	.01	.88	0	1	13
41106	.55	6	1	1	3	.01	.01	.21	.01	.01	.75	0	1	11
41106	.55	6	1	1	4	0	0	0	0	0	1	1	1	9
41106	.55	6	1	1	5	.02	.03	0	0	.05	.9	0	1	6
41106	.55	6	1	2	1	0	0	0	0	0	1	0	1	10
41106	.55	6	1	2	2	0	0	0	0	.16	.84	0	1	8
41106	.55	6	1	2	3	0	0	.08	.02	0	.9	1	1	18
41106	.55	6	1	2	4	.04	.04	0	.16	0	.76	0	1	12
41106	.55	6	1	2	5	0	0	0	0	.2	.8	0	1	14
41106	.55	6	1	3	1	0	0	0	0	0	1	0	1	5
41106	.55	6	1	3	2	0	0	0	0	0	1	0	1	1
41106	.55	6	1	3	3	.26	.26	.28	0	0	.2	0	1	16
41106	.55	6	1	3	4	.01	.01	.01	.01	.01	.95	1	1	20
41106	.55	6	1	3	5	0	0	0	0	0	1	0	1	15
41106	.55	6	1	4	1	.18	0	0	0	0	.82	0	1	2
41106	.55	6	1	4	2	0	0	0	0	0	1	0	1	17
41106	.55	6	1	4	3	0	0	.1	0	0	.9	0	1	3
41106	.55	6	1	4	4	0	0	0	0	0	1	1	1	19
41106	.55	6	1	4	5	.3	0	0	0	0	.7	0	1	7
41106	.55	7	1	1	1	0	0	0	0	0	1	0	1	5
41106	.55	7	1	1	2	0	0	0	0	0	1	0	1	10
41106	.55	7	1	1	3	0	0	.14	0	0	.86	0	1	18
41106	.55	7	1	1	4	0	.02	.04	.06	0	.88	0	1	6
41106	.55	7	1	1	5	0	0	0	0	0	1	1	1	9
41106	.55	7	1	2	1	.1	.05	.05	0	0	.8	0	0	1
41106	.55	7	1	2	2	0	.12	0	0	0	.88	0	0	14
41106	.55	7	1	2	3	.2	.2	.26	.08	.06	.2	1	1	16
41106	.55	7	1	2	4	0	0	0	0	0	1	0	0	19
41106	.55	7	1	2	5	.004	.004	.004	.004	.004	.98	0	0	20
41106	.55	7	1	3	1	.21	.01	.01	.01	.01	.75	0	1	11
41106	.55	7	1	3	2	0	.2	0	0	0	.8	0	1	7
41106	.55	7	1	3	3	0	0	.2	0	0	.8	1	1	4
41106	.55	7	1	3	4	0	0	0	.18	0	.82	0	1	2
41106	.55	7	1	3	5	0	0	0	0	0	1	0	1	15
41106	.55	7	1	4	1	.1	0	0	0	0	.9	0	0	12
41106	.55	7	1	4	2	0	.16	0	0	0	.84	1	1	8
41106	.55	7	1	4	3	0	0	0	0	0	1	0	1	17
41106	.55	7	1	4	4	0	0	0	.1	0	.9	0	0	3
41106	.55	7	1	4	5	.01	.01	.01	.01	.12	.84	0	0	13
41106	.55	7	2	2	1	0	0	0	0	0	1	1	1	1
41106	.55	7	2	2	2	0	.05	0	0	0	.95	0	1	14
41106	.55	7	2	2	3	0	0	0	0	0	1	0	1	16
41106	.55	7	2	2	4	0	0	0	0	0	1	0	1	19
41106	.55	7	2	2	5	0	0	0	0	0	1	0	1	20
41106	.55	7	2	4	1	.1	0	0	0	0	.9	0	0	12
41106	.55	7	2	4	2	0	.125	0	0	0	.875	0	1	8
41106	.55	7	2	4	3	0	0	0	0	0	1	0	1	17
41106	.55	7	2	4	4	0	0	0	.125	0	.875	1	1	3
41106	.55	7	2	4	5	.0125	.0125	.0125	.0125	.125	.825	0	0	13
41106	.55	8	1	1	1	.1	0	0	0	0	.9	1	1	15
41106	.55	8	1	1	2	0	0	0	0	0	1	0	1	9
41106	.55	8	1	1	3	0	0	0	0	0	1	0	1	5
41106	.55	8	1	1	4	0	0	0	.2	0	.8	0	1	4
41106	.55	8	1	1	5	0	0	0	0	.1	.9	0	1	12
41106	.55	8	1	2	1	.2	.14	.08	.06	.02	.5	0	1	16
41106	.55	8	1	2	2	0	.1	0	0	0	.9	0	1	3
41106	.55	8	1	2	3	0	0	.4	0	0	.6	0	1	11
41106	.55	8	1	2	4	0	0	0	0	0	1	1	1	19
41106	.55	8	1	2	5	0	0	0	0	.1	.9	0	1	8
41106	.55	8	1	3	1	.08	.05	.05	0	0	.82	0	1	1
41106	.55	8	1	3	2	0	.14	0	0	0	.86	0	1	18
41106	.55	8	1	3	3	0	0	0	0	0	1	1	1	20
41106	.55	8	1	3	4	0	0	0	0	0	1	0	1	17
41106	.55	8	1	3	5	0	0	0	0	.24	.76	0	1	7
41106	.55	8	1	4	1	.1	.01	.01	.01	.01	.86	1	1	13
41106	.55	8	1	4	2	0	.2	0	0	0	.8	0	1	2
41106	.55	8	1	4	3	0	0	.1	0	0	.9	0	1	14
41106	.55	8	1	4	4	.02	0	.02	.06	0	.9	0	0	6
41106	.55	8	1	4	5	0	0	0	0	0	1	0	1	10
41106	.55	9	1	1	1	.24	0	0	0	0	.76	1	1	7
41106	.55	9	1	1	2	0	.06	0	.02	.02	.9	0	0	6
41106	.55	9	1	1	3	0	0	.14	0	0	.86	0	0	18
41106	.55	9	1	1	4	0	0	0	.2	0	.8	0	0	2
41106	.55	9	1	1	5	0	0	0	0	.16	.84	0	0	12
41106	.55	9	1	2	1	.06	.06	.06	.02	0	.8	0	0	16
41106	.55	9	1	2	2	0	0	0	0	0	1	0	0	19
41106	.55	9	1	2	3	0	0	0	0	.11	.89	1	1	8
41106	.55	9	1	2	4	0	0	0	0	0	1	0	1	10
41106	.55	9	1	2	5	0	0	0	0	.4	.6	0	1	11
41106	.55	9	1	3	1	0	0	0	0	0	1	1	1	17
41106	.55	9	1	3	2	0	.08	0	0	0	.92	0	1	1
41106	.55	9	1	3	3	0	0	.1	0	0	.9	0	1	14
41106	.55	9	1	3	4	.11	0	0	0	0	.89	0	1	9
41106	.55	9	1	3	5	0	0	0	0	0	1	0	1	20
41106	.55	9	1	4	1	.01	.01	.01	.01	.01	.95	0	0	13
41106	.55	9	1	4	2	0	.18	0	0	0	.82	0	1	4
41106	.55	9	1	4	3	0	0	.1	0	0	.9	0	0	3
41106	.55	9	1	4	4	0	0	0	.1	0	.9	1	1	15
41106	.55	9	1	4	5	0	0	0	0	.18	.82	0	1	5
41106	.55	9	2	1	1	.2	0	0	0	0	.8	0	1	7
41106	.55	9	2	1	2	0	.075	0	.025	.025	.875	0	0	6
41106	.55	9	2	1	3	0	0	.05	0	0	.95	1	1	18
41106	.55	9	2	1	4	0	0	0	0	0	1	0	1	2
41106	.55	9	2	1	5	0	0	0	0	.15	.85	0	1	12
41106	.55	10	1	1	1	.14	0	0	0	0	.86	1	1	14
41106	.55	10	1	1	2	0	0	0	0	0	1	0	1	15
41106	.55	10	1	1	3	0	0	.11	0	0	.89	0	0	9
41106	.55	10	1	1	4	0	0	0	.18	0	.82	0	1	4
41106	.55	10	1	1	5	.002	.002	.002	.002	.002	.99	0	0	20
41106	.55	10	1	2	1	.1	0	0	0	0	.9	0	0	3
41106	.55	10	1	2	2	.1	.12	.1	.08	.1	.5	0	0	13
41106	.55	10	1	2	3	0	0	.14	0	0	.86	0	0	5
41106	.55	10	1	2	4	0	0	0	.4	.04	.56	1	1	11
41106	.55	10	1	2	5	0	0	0	0	.2	.8	0	0	7
41106	.55	10	1	3	1	0	0	0	0	.11	.89	0	1	8
41106	.55	10	1	3	2	0	.1	0	0	0	.9	0	1	1
41106	.55	10	1	3	3	0	0	.11	0	0	.89	0	1	10
41106	.55	10	1	3	4	0	0	0	0	0	1	1	1	17
41106	.55	10	1	3	5	0	0	0	0	.11	.89	0	1	19
41106	.55	10	1	4	1	.18	0	0	0	0	.82	0	1	2
41106	.55	10	1	4	2	.06	.06	.06	.02	0	.8	0	0	16
41106	.55	10	1	4	3	.02	0	.06	0	.02	.9	0	0	6
41106	.55	10	1	4	4	0	0	0	.14	0	.86	1	1	18
41106	.55	10	1	4	5	0	0	0	0	.16	.84	0	1	12
41106	.55	10	2	2	1	.125	0	0	0	0	.875	0	0	3
41106	.55	10	2	2	2	.05	.15	.05	.05	.05	.65	0	0	13
41106	.55	10	2	2	3	0	0	.175	0	0	.825	0	0	5
41106	.55	10	2	2	4	0	0	0	.25	0	.75	1	1	11
41106	.55	10	2	2	5	0	0	0	0	.2	.8	0	1	7
41106	.55	10	3	2	1	.0625	0	0	0	0	.9375	0	1	3
41106	.55	10	3	2	2	.0078125	.03125	.0078125	.0078125	.0078125	.9375	0	1	13
41106	.55	10	3	2	3	0	0	0	0	0	1	0	1	5
41106	.55	10	3	2	4	0	0	0	0	0	1	0	0	11
41106	.55	10	3	2	5	0	0	0	0	.09375	.90625	1	1	7
41106	.55	11	1	1	1	.1	0	0	0	0	.9	1	1	5
41106	.55	11	1	1	2	0	0	0	0	0	1	0	1	15
41106	.55	11	1	1	3	0	0	.18	0	0	.82	0	1	4
41106	.55	11	1	1	4	0	0	0	0	.11	.89	0	1	8
41106	.55	11	1	1	5	.106	0	0	0	0	.894	0	0	9
41106	.55	11	1	2	1	0	0	0	0	0	1	1	1	1
41106	.55	11	1	2	2	0	0	0	0	0	1	0	1	20
41106	.55	11	1	2	3	.1	.1	0	.1	.1	.6	0	1	16
41106	.55	11	1	2	4	0	0	0	.11	0	.89	0	1	10
41106	.55	11	1	2	5	0	0	0	0	0	1	0	1	11
41106	.55	11	1	3	1	.16	0	0	0	0	.84	0	1	12
41106	.55	11	1	3	2	0	.12	0	0	0	.88	0	1	14
41106	.55	11	1	3	3	0	0	.1	0	0	.9	0	0	6
41106	.55	11	1	3	4	0	0	0	.1	0	.9	1	1	19
41106	.55	11	1	3	5	0	0	0	0	.16	.84	0	1	18
41106	.55	11	1	4	1	.1	0	0	0	0	.9	1	1	3
41106	.55	11	1	4	2	.005	.02	.005	.005	.005	.96	0	0	13
41106	.55	11	1	4	3	0	0	.2	0	0	.8	0	1	7
41106	.55	11	1	4	4	0	0	0	.18	0	.82	0	1	2
41106	.55	11	1	4	5	0	0	0	0	0	1	0	1	17
41106	.55	12	1	1	1	0	0	0	0	0	1	0	1	1
41106	.55	12	1	1	2	0	.11	0	0	0	.89	0	1	19
41106	.55	12	1	1	3	0	0	.16	0	0	.84	0	1	18
41106	.55	12	1	1	4	0	0	0	.14	0	.86	1	1	6
41106	.55	12	1	1	5	.005	.005	.005	.005	.04	.94	0	0	13
41106	.55	12	1	2	1	0	0	0	0	0	1	0	1	15
41106	.55	12	1	2	2	0	.26	0	0	0	.74	0	1	7
41106	.55	12	1	2	3	0	0	.1	0	0	.9	0	1	5
41106	.55	12	1	2	4	0	0	0	.18	0	.82	0	1	4
41106	.55	12	1	2	5	0	0	0	0	.106	.894	1	1	9
41106	.55	12	1	3	1	0	0	0	0	1	0	0	1	11
41106	.55	12	1	3	2	0	0	0	0	0	1	0	0	20
41106	.55	12	1	3	3	0	0	.1	0	0	.9	0	0	3
41106	.55	12	1	3	4	0	0	0	.11	0	.89	0	0	8
41106	.55	12	1	3	5	.32	.24	.22	.22	0	0	1	1	16
41106	.55	12	1	4	1	.14	0	0	0	0	.86	0	1	12
41106	.55	12	1	4	2	0	.16	0	0	0	.84	0	1	17
41106	.55	12	1	4	3	0	0	.11	0	0	.89	0	1	10
41106	.55	12	1	4	4	0	0	0	.1	0	.9	1	1	14
41106	.55	12	1	4	5	0	0	0	0	.18	.82	0	1	2
41106	.55	12	2	3	1	1	0	0	0	0	0	0	1	11
41106	.55	12	2	3	2	0	0	0	0	0	1	1	1	20
41106	.55	12	2	3	3	0	0	.1	0	0	.9	0	1	3
41106	.55	12	2	3	4	0	0	0	.125	0	.875	0	1	8
41106	.55	12	2	3	5	0	0	0	0	0	1	0	1	16
41306	.75	1	1	1	1	.3	.14	.14	.14	.14	.14	0	1	33
41306	.75	1	1	1	2	.2	.14	.1	.04	.02	.5	1	1	32
41306	.75	1	1	1	3	0	0	.4	.4	.2	0	0	1	26
41306	.75	1	1	1	4	.12	.14	.12	.16	.12	.34	0	0	23
41306	.75	1	1	1	5	.14	.14	.14	.14	.14	.3	0	0	21
41306	.75	1	1	2	1	.14	.14	.12	.1	.1	.4	0	1	28
41306	.75	1	1	2	2	.3	.3	.2	0	0	.2	0	1	22
41306	.75	1	1	2	3	.18	.18	.3	.16	.16	.02	0	0	31
41306	.75	1	1	2	4	.1	0	.2	.4	.3	0	0	0	34
41306	.75	1	1	2	5	.12	.22	0	0	.46	.2	1	1	30
41306	.75	1	1	3	1	.1	.24	.1	.1	.12	.34	0	0	29
41306	.75	1	1	3	2	.1	.4	.14	0	0	.36	0	0	24
41306	.75	1	1	3	3	.34	.34	.32	0	0	0	0	1	25
41306	.75	1	1	3	4	0	0	.32	.36	.32	0	1	1	35
41306	.75	1	1	3	5	.08	.08	.08	.08	.18	.5	0	1	27
41306	.75	2	1	1	1	.32	.32	.32	0	0	.04	0	1	24
41306	.75	2	1	1	2	.32	.36	.32	0	0	0	1	1	35
41306	.75	2	1	1	3	.06	.14	.2	.14	.06	.4	0	1	28
41306	.75	2	1	1	4	0	.2	.2	.32	.16	.12	0	0	31
41306	.75	2	1	1	5	.2	.12	.16	.08	.24	.2	0	0	23
41306	.75	2	1	2	1	.4	.3	.3	0	0	0	0	1	25
41306	.75	2	1	2	2	.14	.24	.14	.14	.14	.2	0	1	33
41306	.75	2	1	2	3	.2	.24	.28	.2	.08	0	0	0	22
41306	.75	2	1	2	4	.1	.2	0	.3	.1	.3	0	1	26
41306	.75	2	1	2	5	.1	.1	.1	.1	.1	.5	1	1	21
41306	.75	2	1	3	1	.36	.26	.28	0	0	.1	1	1	29
41306	.75	2	1	3	2	.1	.2	.3	.4	0	0	0	1	34
41306	.75	2	1	3	3	0	0	.4	.3	.3	0	0	1	30
41306	.75	2	1	3	4	.03	.03	.28	.38	.28	0	0	0	27
41306	.75	2	1	3	5	.04	.04	.12	.16	.24	.4	0	0	32
41306	.75	3	1	1	1	.22	.2	.2	.08	0	.3	0	1	28
41306	.75	3	1	1	2	.2	.3	.2	.22	0	.08	0	1	31
41306	.75	3	1	1	3	.08	.08	.08	.08	.08	.6	1	1	21
41306	.75	3	1	1	4	.1	.1	.1	.1	.1	.5	0	1	25
41306	.75	3	1	1	5	.28	0	.36	0	.36	0	0	0	27
41306	.75	3	1	2	1	.4	.3	.3	0	0	0	0	1	24
41306	.75	3	1	2	2	.2	.5	0	.2	0	.1	0	1	34
41306	.75	3	1	2	3	.22	.24	.24	0	0	.3	0	1	22
41306	.75	3	1	2	4	0	.26	.26	.38	0	.1	0	0	32
41306	.75	3	1	2	5	.04	.24	.24	.04	.36	.08	1	1	33
41306	.75	3	1	3	1	.42	.24	.22	0	0	.12	0	0	29
41306	.75	3	1	3	2	0	.3	0	.2	.2	.3	1	1	30
41306	.75	3	1	3	3	0	.3	.4	0	.3	0	0	0	23
41306	.75	3	1	3	4	0	.2	.2	.6	0	0	0	1	26
41306	.75	3	1	3	5	.32	0	.32	0	.36	0	0	1	35
41306	.75	4	1	1	1	.04	.04	.04	.04	.04	.8	1	0	28
41306	.75	4	1	1	2	0	.39	.2	0	.2	.21	0	1	35
41306	.75	4	1	1	3	0	.2	.4	.2	0	.2	0	0	26
41306	.75	4	1	1	4	.06	.06	.06	.14	.08	.6	0	1	33
41306	.75	4	1	1	5	0	0	.29	.29	.41	.01	0	1	32
41306	.75	4	1	2	1	.4	.24	.24	0	0	.12	0	1	31
41306	.75	4	1	2	2	0	0	0	0	0	1	0	1	24
41306	.75	4	1	2	3	.26	.26	.4	0	0	.08	1	1	22
41306	.75	4	1	2	4	.4	.26	.24	0	0	.1	0	0	29
41306	.75	4	1	2	5	0	.1	.2	.2	.5	0	0	0	34
41306	.75	4	1	3	1	.4	.3	.3	0	0	0	0	0	25
41306	.75	4	1	3	2	.33	.34	.33	0	0	0	0	0	27
41306	.75	4	1	3	3	.02	.02	.02	.02	.02	.9	0	1	21
41306	.75	4	1	3	4	0	.22	.3	.38	.1	0	1	1	23
41306	.75	4	1	3	5	0	.26	.3	0	.38	.06	0	0	30
41306	.75	4	2	3	1	.35	.325	0	0	.325	0	0	0	25
41306	.75	4	2	3	2	.225	.325	.225	.225	0	0	0	1	27
41306	.75	4	2	3	3	.025	.025	.025	.025	.025	.875	0	1	21
41306	.75	4	2	3	4	0	0	.3	.375	.3	.025	0	0	23
41306	.75	4	2	3	5	0	.325	.325	0	.35	0	1	1	30
41306	.75	5	1	1	1	.4	.3	.3	0	0	0	0	1	33
41306	.75	5	1	1	2	0	.36	.32	.32	0	0	0	0	25
41306	.75	5	1	1	3	.38	.18	.18	0	0	.26	0	0	29
41306	.75	5	1	1	4	.3	0	0	.4	.3	0	1	1	30
41306	.75	5	1	1	5	0	0	.29	.29	.42	0	0	1	32
41306	.75	5	1	2	1	.38	0	.31	0	.31	0	0	0	27
41306	.75	5	1	2	2	.22	.26	.22	.1	.1	.1	0	1	23
41306	.75	5	1	2	3	.02	.02	.02	.02	.02	.9	0	0	21
41306	.75	5	1	2	4	.1	.1	.18	.44	.18	0	0	1	22
41306	.75	5	1	2	5	0	.3	0	.3	.4	0	1	1	26
41306	.75	5	1	3	1	.32	0	.18	.2	0	.3	0	0	35
41306	.75	5	1	3	2	.28	.42	.28	0	0	.02	0	0	31
41306	.75	5	1	3	3	0	.2	.5	.2	0	.1	0	0	34
41306	.75	5	1	3	4	.24	.08	.24	.24	.08	.12	0	0	28
41306	.75	5	1	3	5	.16	.16	0	0	.68	0	1	1	24
41306	.75	5	2	3	1	.375	.3	0	.3	0	.025	1	1	35
41306	.75	5	2	3	2	.25	.375	.25	0	0	.125	0	1	31
41306	.75	5	2	3	3	.25	.25	.5	0	0	0	0	0	34
41306	.75	5	2	3	4	.25	.25	.25	0	0	.25	0	1	28
41306	.75	5	2	3	5	0	0	0	0	0	1	0	0	24
41306	.75	6	1	1	1	.42	.29	.29	0	0	0	0	0	32
41306	.75	6	1	1	2	0	.32	0	.2	.2	.28	0	1	35
41306	.75	6	1	1	3	.14	.2	.28	.24	0	.14	1	1	23
41306	.75	6	1	1	4	.3	0	0	.4	.3	0	0	1	26
41306	.75	6	1	1	5	.28	0	.2	0	.52	0	0	0	34
41306	.75	6	1	2	1	.4	0	.3	0	.3	0	0	0	30
41306	.75	6	1	2	2	.26	.44	0	.3	0	0	0	1	27
